Orthogroup	protein_3	protein
OG0000037	WP_154803623.1	WP_014623324.1
OG0000037	WP_021320936.1	WP_014623099.1
OG0000038	WP_154804282.1	WP_014623662.1
OG0000038	WP_154804287.1	WP_154293455.1
OG0000039	WP_012514977.1	WP_038674566.1
OG0000039	WP_021320395.1	WP_021320395.1
OG0000040	WP_154804357.1	WP_038674744.1
OG0000040	WP_012677935.1	WP_038674281.1
OG0000041	WP_154803826.1	WP_154293443.1
OG0000041	WP_154804043.1	WP_038674455.1
OG0000042	WP_012678603.1	WP_038674598.1
OG0000042	WP_111710917.1	WP_038674873.1
OG0000043	WP_165627468.1, WP_172954511.1, WP_165626751.1	WP_165620476.1, WP_165620660.1
OG0000044	WP_154804385.1	WP_014623017.1
OG0000044	WP_012515781.1	WP_012515781.1
OG0000045	WP_111692688.1	WP_012515981.1, WP_014623329.1
OG0000047	WP_012677439.1, WP_154803866.1	WP_012677439.1
OG0000048	WP_154803868.1	WP_012678015.1
OG0000049	WP_269471216.1, WP_269471215.1, WP_021320402.1	WP_012678458.1
OG0000050	WP_154804000.1, WP_154803990.1	WP_012678623.1
OG0000052	WP_154804317.1	WP_041788153.1
OG0000052	WP_154803788.1	WP_014622411.1
OG0000053	WP_154804005.1	WP_154293432.1
OG0000053	WP_043052920.1	WP_038674412.1, WP_014622649.1
OG0000054	WP_154803650.1	WP_014623223.1
OG0000055	WP_154804341.1, WP_154804347.1	WP_014622881.1
OG0000056	WP_043039483.1, WP_154803736.1	WP_014623134.1
OG0000057	WP_080332811.1	WP_014623493.1
OG0000057	WP_154803564.1	WP_080004982.1, WP_014623260.1
OG0000058	WP_154803562.1	WP_014623504.1, WP_038674416.1
OG0000058	WP_154803979.1	WP_014623272.1
OG0000060	WP_172954534.1, WP_154803680.1, WP_154803905.1	WP_038674819.1
OG0000061	WP_232013881.1	WP_228269587.1
OG0000061	WP_232013869.1, WP_232013871.1	WP_228269603.1
OG0000062	WP_154804283.1	WP_009662862.1, WP_038674683.1
OG0000063	WP_043029447.1	WP_014622590.1, WP_012515170.1
OG0000064	WP_012516427.1	WP_012516427.1
OG0000065	WP_012516443.1	WP_012516443.1
OG0000066	WP_012678692.1, WP_111690337.1	WP_012516446.1
OG0000067	WP_154803617.1	WP_012677648.1
OG0000068	WP_154803983.1, WP_154804111.1	WP_012678474.1
OG0000069	WP_012678706.1, WP_037578457.1	WP_012678706.1
OG0000070	WP_154804110.1, WP_154804258.1	WP_014622077.1
OG0000071	WP_154803668.1	WP_014622159.1, WP_014623177.1
OG0000072	WP_012514890.1	WP_014622242.1
OG0000073	WP_154804166.1	WP_014622253.1
OG0000074	WP_154804002.1, WP_012678549.1	WP_014622274.1
OG0000075	WP_154804135.1	WP_014622293.1
OG0000077	WP_154803716.1	WP_266095218.1, WP_014622636.1, WP_014622635.1
OG0000078	WP_154804006.1, WP_115250782.1	WP_014622643.1, WP_014622648.1
OG0000079	WP_154803974.1	WP_014622652.1
OG0000080	WP_154803929.1	WP_014622736.1
OG0000082	WP_012679829.1, WP_043030192.1	WP_014623170.1
OG0000083	WP_154804321.1, WP_111721714.1	WP_014623171.1
OG0000084	WP_014623172.1, WP_043030194.1	WP_014623172.1
OG0000085	WP_042669846.1, WP_154803666.1	WP_014623179.1
OG0000086	WP_014623198.1, WP_154803678.1	WP_014623198.1
OG0000088	WP_014623459.1	WP_014623459.1
OG0000089	WP_043039290.1, WP_154804162.1	WP_014623488.1
OG0000090	WP_012678670.1	WP_014623503.1, WP_014623622.1
OG0000091	WP_151374869.1	WP_014623564.1
OG0000092	WP_154803926.1, WP_154804327.1	WP_014623567.1
OG0000093	WP_043039481.1	WP_014623587.1
OG0000094	WP_012516391.1	WP_014623602.1
OG0000095	WP_012516425.1	WP_014623632.1, WP_158306818.1
OG0000096	WP_154804127.1	WP_038674551.1, WP_021320372.1
OG0000097	WP_021321066.1	WP_021321066.1
OG0000098	WP_012677440.1	WP_024273224.1
OG0000099	WP_154803567.1, WP_154804160.1	WP_038673957.1
OG0000100	WP_154803722.1	WP_038674150.1, WP_038674613.1
OG0000101	WP_232013935.1, WP_232013933.1	WP_038674221.1
OG0000102	WP_172454087.1	WP_154293433.1, WP_038674437.1
OG0000103	WP_111689780.1, WP_154803670.1	WP_038674620.1
OG0000104	WP_154804419.1	WP_041788167.1, WP_038674875.1
OG0000105	WP_154803713.1, WP_154803891.1	WP_041788211.1
OG0000106	WP_042670252.1	WP_043036384.1
OG0000107	WP_197718037.1, WP_154804217.1	WP_049780513.1
OG0000108	WP_043039190.1, WP_111710247.1	WP_049780543.1
OG0000109	WP_172954505.1, WP_012677494.1	WP_138119682.1
OG0000110	WP_154803973.1	WP_148255838.1
OG0000111	WP_154804230.1, WP_154803852.1	WP_154293407.1
OG0000112	WP_154803982.1, WP_012679055.1	WP_154293411.1
OG0000113	WP_154803676.1, WP_154803674.1	WP_154293421.1
OG0000114	WP_012678755.1	WP_169724974.1
OG0000115	WP_154803611.1	WP_228269594.1
OG0000118	WP_000533765.1	WP_000533765.1
OG0000119	WP_000831903.1	WP_000831903.1
OG0000120	WP_000868345.1	WP_000868345.1
OG0000121	WP_001040189.1	WP_001040189.1
OG0000122	WP_001118387.1	WP_001118387.1
OG0000123	WP_001265622.1	WP_001265622.1
OG0000124	WP_002982710.1	WP_002982710.1
OG0000125	WP_002982870.1	WP_002982870.1
OG0000126	WP_002983142.1	WP_002983142.1
OG0000127	WP_012677215.1	WP_002986602.1
OG0000128	WP_003010871.1	WP_003010871.1
OG0000129	WP_000124834.1	WP_003027551.1
OG0000130	WP_003046044.1	WP_003046044.1
OG0000131	WP_003046054.1	WP_003046054.1
OG0000132	WP_003046060.1	WP_003046060.1
OG0000133	WP_003046072.1	WP_003046072.1
OG0000134	WP_003046456.1	WP_003046456.1
OG0000135	WP_003049875.1	WP_003049875.1
OG0000136	WP_003065460.1	WP_003065460.1
OG0000137	WP_043983624.1, WP_021675795.1	WP_008750788.1
OG0000138	WP_012514685.1	WP_012514685.1
OG0000139	WP_012514693.1	WP_012514693.1
OG0000140	WP_012514702.1	WP_012514702.1
OG0000141	WP_012678781.1	WP_012514717.1
OG0000142	WP_012514718.1	WP_012514718.1
OG0000143	WP_012677212.1	WP_012514733.1
OG0000144	WP_012514735.1	WP_012514735.1
OG0000145	WP_012514737.1	WP_012514737.1
OG0000146	WP_012514738.1	WP_012514738.1
OG0000147	WP_012514740.1	WP_012514740.1
OG0000148	WP_012514741.1	WP_012514741.1
OG0000149	WP_012514742.1	WP_012514742.1
OG0000150	WP_012514743.1	WP_012514743.1
OG0000151	WP_012514744.1	WP_012514744.1
OG0000152	WP_012514746.1	WP_012514746.1
OG0000153	WP_012514747.1	WP_012514747.1
OG0000154	WP_012514749.1	WP_012514749.1
OG0000155	WP_012514767.1	WP_012514767.1
OG0000156	WP_012514798.1	WP_012514798.1
OG0000157	WP_012514800.1	WP_012514800.1
OG0000158	WP_012514806.1	WP_012514806.1
OG0000159	WP_012514830.1	WP_012514830.1
OG0000160	WP_037580553.1	WP_012514831.1
OG0000161	WP_012677280.1	WP_012514836.1
OG0000162	WP_154804194.1	WP_012514859.1
OG0000163	WP_154804192.1	WP_012514860.1
OG0000164	WP_012514863.1	WP_012514863.1
OG0000165	WP_012677303.1	WP_012514864.1
OG0000166	WP_154804172.1	WP_012514896.1
OG0000167	WP_111689808.1	WP_012514897.1
OG0000168	WP_043052694.1	WP_012514898.1
OG0000169	WP_012514907.1	WP_012514907.1
OG0000170	WP_012514912.1	WP_012514912.1
OG0000171	WP_154804148.1	WP_012514918.1
OG0000172	WP_154804147.1	WP_012514919.1
OG0000173	WP_012514925.1	WP_012514925.1
OG0000174	WP_012514926.1	WP_012514926.1
OG0000175	WP_012514929.1	WP_012514929.1
OG0000176	WP_012514930.1	WP_012514930.1
OG0000177	WP_012514937.1	WP_012514937.1
OG0000178	WP_154804143.1	WP_012514941.1
OG0000179	WP_012679013.1	WP_012514973.1
OG0000180	WP_043040064.1	WP_012514975.1
OG0000181	WP_012514985.1	WP_012514985.1
OG0000182	WP_012514987.1	WP_012514987.1
OG0000183	WP_012514992.1	WP_012514992.1
OG0000184	WP_021320374.1	WP_012514999.1
OG0000185	WP_012515004.1	WP_012515004.1
OG0000186	WP_012515005.1	WP_012515005.1
OG0000187	WP_012678488.1	WP_012515017.1
OG0000188	WP_012515046.1	WP_012515046.1
OG0000189	WP_012515057.1	WP_012515057.1
OG0000190	WP_042670128.1	WP_012515058.1
OG0000191	WP_021320411.1	WP_012515060.1
OG0000192	WP_012515063.1	WP_012515063.1
OG0000193	WP_115267103.1	WP_012515071.1
OG0000194	WP_012678437.1	WP_012515073.1
OG0000195	WP_012515079.1	WP_012515079.1
OG0000196	WP_012515084.1	WP_012515084.1
OG0000197	WP_154804098.1	WP_012515088.1
OG0000198	WP_012515093.1	WP_012515093.1
OG0000199	WP_154804094.1	WP_012515100.1
OG0000200	WP_037579628.1	WP_012515101.1
OG0000201	WP_154804093.1	WP_012515102.1
OG0000202	WP_012515107.1	WP_012515107.1
OG0000203	WP_012515113.1	WP_012515113.1
OG0000204	WP_012515114.1	WP_012515114.1
OG0000205	WP_154804087.1	WP_012515116.1
OG0000206	WP_012515120.1	WP_012515120.1
OG0000207	WP_021320440.1	WP_012515121.1
OG0000208	WP_012515132.1	WP_012515132.1
OG0000209	WP_037581427.1	WP_012515137.1
OG0000210	WP_111689912.1	WP_012515154.1
OG0000211	WP_012515158.1	WP_012515158.1
OG0000212	WP_012515166.1	WP_012515166.1
OG0000213	WP_012515178.1	WP_012515178.1
OG0000214	WP_012515184.1	WP_012515184.1
OG0000215	WP_012515211.1	WP_012515211.1
OG0000216	WP_043029466.1	WP_012515214.1
OG0000217	WP_012515215.1	WP_012515215.1
OG0000218	WP_154804049.1	WP_012515218.1
OG0000219	WP_154804048.1	WP_012515219.1
OG0000220	WP_012515231.1	WP_012515231.1
OG0000221	WP_012679167.1	WP_012515235.1
OG0000222	WP_012515244.1	WP_012515244.1
OG0000223	WP_012515246.1	WP_012515246.1
OG0000224	WP_012515249.1	WP_012515249.1
OG0000225	WP_154804039.1	WP_012515260.1
OG0000226	WP_012515261.1	WP_012515261.1
OG0000227	WP_012515270.1	WP_012515270.1
OG0000228	WP_012515278.1	WP_012515278.1
OG0000229	WP_154804032.1	WP_012515284.1
OG0000230	WP_043040314.1	WP_012515299.1
OG0000231	WP_154804026.1	WP_012515300.1
OG0000232	WP_012515313.1	WP_012515313.1
OG0000233	WP_012515316.1	WP_012515316.1
OG0000234	WP_012679244.1	WP_012515336.1
OG0000235	WP_012515369.1	WP_012515369.1
OG0000236	WP_154803952.1	WP_012515374.1
OG0000237	WP_012678146.1	WP_012515383.1
OG0000238	WP_012515391.1	WP_012515391.1
OG0000239	WP_037578738.1	WP_012515394.1
OG0000240	WP_012515399.1	WP_012515399.1
OG0000241	WP_012678128.1	WP_012515405.1
OG0000242	WP_012515409.1	WP_012515409.1
OG0000243	WP_043030685.1	WP_012515423.1
OG0000244	WP_012515426.1	WP_012515426.1
OG0000245	WP_012515427.1	WP_012515427.1
OG0000246	WP_012515430.1	WP_012515430.1
OG0000247	WP_012515431.1	WP_012515431.1
OG0000248	WP_154803924.1	WP_012515458.1
OG0000249	WP_154803913.1	WP_012515487.1
OG0000250	WP_012515489.1	WP_012515489.1
OG0000251	WP_012515490.1	WP_012515490.1
OG0000252	WP_012678053.1	WP_012515499.1
OG0000253	WP_154803883.1	WP_012515506.1
OG0000254	WP_012515507.1	WP_012515507.1
OG0000255	WP_012515508.1	WP_012515508.1
OG0000256	WP_012515510.1	WP_012515510.1
OG0000257	WP_012515511.1	WP_012515511.1
OG0000258	WP_012515523.1	WP_012515523.1
OG0000259	WP_012515542.1	WP_012515542.1
OG0000260	WP_021320708.1	WP_012515548.1
OG0000261	WP_012515563.1	WP_012515563.1
OG0000262	WP_012515564.1	WP_012515564.1
OG0000263	WP_012515565.1	WP_012515565.1
OG0000264	WP_041790451.1	WP_012515566.1
OG0000265	WP_154803857.1	WP_012515586.1
OG0000266	WP_012677974.1	WP_012515603.1
OG0000267	WP_012515611.1	WP_012515611.1
OG0000268	WP_012515616.1	WP_012515616.1
OG0000269	WP_012515617.1	WP_012515617.1
OG0000270	WP_012515624.1	WP_012515624.1
OG0000271	WP_012515629.1	WP_012515629.1
OG0000272	WP_012515634.1	WP_012515634.1
OG0000273	WP_154803839.1	WP_012515639.1
OG0000274	WP_012515644.1	WP_012515644.1
OG0000275	WP_012515646.1	WP_012515646.1
OG0000276	WP_012515653.1	WP_012515653.1
OG0000277	WP_012515655.1	WP_012515655.1
OG0000278	WP_154803835.1	WP_012515660.1
OG0000279	WP_012515666.1	WP_012515666.1
OG0000280	WP_012515669.1	WP_012515669.1
OG0000281	WP_012677909.1	WP_012515672.1
OG0000282	WP_037581033.1	WP_012515690.1
OG0000283	WP_012515696.1	WP_012515696.1
OG0000284	WP_043040660.1	WP_012515710.1
OG0000285	WP_012515728.1	WP_012515728.1
OG0000286	WP_012515734.1	WP_012515734.1
OG0000287	WP_012515737.1	WP_012515737.1
OG0000288	WP_043030887.1	WP_012515744.1
OG0000289	WP_042670759.1	WP_012515752.1
OG0000290	WP_012515759.1	WP_012515759.1
OG0000291	WP_012515795.1	WP_012515795.1
OG0000292	WP_154803786.1	WP_012515814.1
OG0000293	WP_154803784.1	WP_012515820.1
OG0000294	WP_154803781.1	WP_012515822.1
OG0000295	WP_012515862.1	WP_012515862.1
OG0000296	WP_012515872.1	WP_012515872.1
OG0000297	WP_012515875.1	WP_012515875.1
OG0000298	WP_012515888.1	WP_012515888.1
OG0000299	WP_154803749.1	WP_012515894.1
OG0000300	WP_043026105.1	WP_012515910.1
OG0000301	WP_012515923.1	WP_012515923.1
OG0000302	WP_154803731.1	WP_012515937.1, WP_014623142.1
OG0000303	WP_012515948.1	WP_012515948.1
OG0000304	WP_012515957.1	WP_012515957.1
OG0000305	WP_111692600.1	WP_012515958.1
OG0000306	WP_012515968.1	WP_012515968.1
OG0000307	WP_154803663.1	WP_012515994.1
OG0000308	WP_012677612.1	WP_012516008.1
OG0000309	WP_154803640.1	WP_012516034.1
OG0000310	WP_012516035.1	WP_012516035.1
OG0000311	WP_138119605.1	WP_012516037.1
OG0000312	WP_012516038.1	WP_012516038.1
OG0000313	WP_012516046.1	WP_012516046.1
OG0000314	WP_012516047.1	WP_012516047.1
OG0000315	WP_012516058.1	WP_012516058.1
OG0000316	WP_043039227.1	WP_012516059.1
OG0000317	WP_012516063.1	WP_012516063.1
OG0000318	WP_012516066.1	WP_012516066.1
OG0000319	WP_043040961.1	WP_012516071.1
OG0000320	WP_012677543.1	WP_012516076.1
OG0000321	WP_043040967.1	WP_012516077.1
OG0000322	WP_111692676.1	WP_012516079.1
OG0000323	WP_012677540.1	WP_012516080.1
OG0000324	WP_043026361.1	WP_012516082.1
OG0000325	WP_012677537.1	WP_012516087.1
OG0000326	WP_012516123.1	WP_012516123.1
OG0000327	WP_154803609.1	WP_012516130.1
OG0000328	WP_012516131.1	WP_012516131.1
OG0000329	WP_012516143.1	WP_012516143.1
OG0000330	WP_012516146.1	WP_012516146.1
OG0000331	WP_037579765.1	WP_012516150.1
OG0000332	WP_012680000.1	WP_012516151.1
OG0000333	WP_012516157.1	WP_012516157.1
OG0000334	WP_012516159.1	WP_012516159.1
OG0000335	WP_012677478.1	WP_012516167.1
OG0000336	WP_037579803.1	WP_012516169.1
OG0000337	WP_012516176.1	WP_012516176.1
OG0000338	WP_012516186.1	WP_012516186.1
OG0000339	WP_012516192.1	WP_012516192.1
OG0000340	WP_154803588.1	WP_012516194.1
OG0000341	WP_012516195.1	WP_012516195.1
OG0000342	WP_012516202.1	WP_012516202.1
OG0000343	WP_012516212.1	WP_012516212.1
OG0000344	WP_012516235.1	WP_012516235.1
OG0000345	WP_012677421.1	WP_012516240.1
OG0000346	WP_012516251.1	WP_012516251.1
OG0000347	WP_154803556.1	WP_012516252.1
OG0000348	WP_012516253.1	WP_012516253.1
OG0000349	WP_012516259.1	WP_012516259.1
OG0000350	WP_012516266.1	WP_012516266.1
OG0000351	WP_021321133.1	WP_012516286.1
OG0000352	WP_012516300.1	WP_012516300.1
OG0000353	WP_154804361.1	WP_012516305.1
OG0000354	WP_154804337.1	WP_012516327.1
OG0000355	WP_154804334.1	WP_012516331.1
OG0000356	WP_012516339.1	WP_012516339.1
OG0000357	WP_012516368.1	WP_012516368.1
OG0000358	WP_229297461.1	WP_012516375.1
OG0000359	WP_012516388.1	WP_012516388.1
OG0000360	WP_012516396.1	WP_012516396.1
OG0000361	WP_012516426.1	WP_012516426.1
OG0000362	WP_042671437.1	WP_012516431.1
OG0000363	WP_012516437.1	WP_012516437.1
OG0000364	WP_012516439.1	WP_012516439.1
OG0000365	WP_012516440.1	WP_012516440.1
OG0000366	WP_012678688.1	WP_012516441.1
OG0000367	WP_012516453.1	WP_012516453.1
OG0000368	WP_012678705.1	WP_012516460.1
OG0000369	WP_012516474.1	WP_012516474.1
OG0000370	WP_154804276.1	WP_012516485.1
OG0000371	WP_111678785.1	WP_012516488.1
OG0000372	WP_012514683.1	WP_012677176.1
OG0000373	WP_012677213.1	WP_012677213.1
OG0000374	WP_012677214.1	WP_012677214.1
OG0000375	WP_012677221.1	WP_012677221.1
OG0000376	WP_012514773.1	WP_012677227.1
OG0000377	WP_111710102.1	WP_012677230.1
OG0000378	WP_154804227.1	WP_012677236.1
OG0000379	WP_154804222.1	WP_012677244.1
OG0000380	WP_024273103.1	WP_012677248.1
OG0000381	WP_043029271.1	WP_012677249.1
OG0000382	WP_012677265.1	WP_012677265.1
OG0000383	WP_012677268.1	WP_012677268.1
OG0000384	WP_012677269.1	WP_012677269.1
OG0000385	WP_012677286.1	WP_012677286.1
OG0000386	WP_043025091.1	WP_012677306.1
OG0000387	WP_043983869.1	WP_012677308.1
OG0000388	WP_012677322.1	WP_012677322.1
OG0000389	WP_154804329.1	WP_012677328.1
OG0000390	WP_012677341.1	WP_012677341.1
OG0000391	WP_012677343.1	WP_012677343.1
OG0000392	WP_043053415.1	WP_012677369.1
OG0000393	WP_042671308.1	WP_012677371.1
OG0000394	WP_012677374.1	WP_012677374.1
OG0000395	WP_012677375.1	WP_012677375.1
OG0000396	WP_012677395.1	WP_012677395.1
OG0000397	WP_043041095.1	WP_012677396.1
OG0000398	WP_043041092.1	WP_012677400.1
OG0000399	WP_154803554.1	WP_012677410.1
OG0000400	WP_154803572.1	WP_012677424.1
OG0000401	WP_012516231.1	WP_012677427.1
OG0000402	WP_043026498.1	WP_012677432.1
OG0000403	WP_012677445.1	WP_012677445.1
OG0000404	WP_154803582.1	WP_012677450.1
OG0000405	WP_012677476.1	WP_012677476.1
OG0000406	WP_111692708.1	WP_012677481.1
OG0000407	WP_012516158.1	WP_012677486.1
OG0000408	WP_154803602.1	WP_012677487.1
OG0000409	WP_041785676.1	WP_012677492.1
OG0000410	WP_043039344.1	WP_012677504.1
OG0000411	WP_154803625.1	WP_012677529.1
OG0000412	WP_012516062.1	WP_012677552.1
OG0000413	WP_012677557.1	WP_012677557.1
OG0000414	WP_111678278.1	WP_012677563.1
OG0000415	WP_154803636.1	WP_012677564.1
OG0000416	WP_154803642.1	WP_012677586.1
OG0000417	WP_012677605.1	WP_012677605.1
OG0000418	WP_037581556.1	WP_012677607.1
OG0000419	WP_111678248.1	WP_012677617.1
OG0000420	WP_012515977.1	WP_012677653.1
OG0000421	WP_012677660.1	WP_012677660.1
OG0000422	WP_043026144.1	WP_012677670.1
OG0000423	WP_042670911.1	WP_012677681.1
OG0000424	WP_154803763.1	WP_012677747.1
OG0000425	WP_154803766.1	WP_012677750.1
OG0000426	WP_154803779.1	WP_012677772.1
OG0000427	WP_012677778.1	WP_012677778.1
OG0000428	WP_012677786.1	WP_012677786.1
OG0000429	WP_012515796.1	WP_012677801.1
OG0000430	WP_012679701.1	WP_012677807.1
OG0000431	WP_021320861.1	WP_012677818.1
OG0000432	WP_012679689.1	WP_012677820.1
OG0000433	WP_154803799.1	WP_012677824.1
OG0000434	WP_042670768.1	WP_012677826.1
OG0000435	WP_012677836.1	WP_012677836.1
OG0000436	WP_012677843.1	WP_012677843.1
OG0000437	WP_154803815.1	WP_014623240.1, WP_012677866.1
OG0000438	WP_012677869.1	WP_012677869.1
OG0000439	WP_012677890.1	WP_012677890.1
OG0000440	WP_012677904.1	WP_012677904.1
OG0000441	WP_012677911.1	WP_012677911.1
OG0000442	WP_154804390.1	WP_012677933.1
OG0000443	WP_012677940.1	WP_012677940.1
OG0000444	WP_012679584.1	WP_012677966.1
OG0000445	WP_154803848.1	WP_012677971.1
OG0000446	WP_154803858.1	WP_012677986.1
OG0000447	WP_154803859.1	WP_012677989.1
OG0000448	WP_012677994.1	WP_012677994.1
OG0000449	WP_012515568.1	WP_012678001.1
OG0000450	WP_012678006.1	WP_012678006.1
OG0000451	WP_012678018.1	WP_012678018.1
OG0000452	WP_154804393.1	WP_012678021.1
OG0000453	WP_012515537.1	WP_012678025.1
OG0000454	WP_012678026.1	WP_012678026.1
OG0000455	WP_012678034.1	WP_012678034.1
OG0000456	WP_042670568.1	WP_012678041.1
OG0000457	WP_012678044.1	WP_012678044.1
OG0000458	WP_154803884.1	WP_012678047.1
OG0000459	WP_012678063.1	WP_012678063.1
OG0000460	WP_012678065.1	WP_012678065.1
OG0000461	WP_012678074.1	WP_012678074.1
OG0000462	WP_012679421.1	WP_012678079.1
OG0000463	WP_012678105.1	WP_012678105.1
OG0000464	WP_012678107.1	WP_012678107.1
OG0000465	WP_012678109.1	WP_012678109.1
OG0000466	WP_043030688.1	WP_012678112.1
OG0000467	WP_012515407.1	WP_012678127.1
OG0000468	WP_012678167.1	WP_012678167.1
OG0000469	WP_154803962.1	WP_012678173.1
OG0000470	WP_154803969.1	WP_012678186.1
OG0000471	WP_154804022.1	WP_012678248.1
OG0000472	WP_138118992.1	WP_012678252.1
OG0000473	WP_154804023.1	WP_012678253.1
OG0000474	WP_012678278.1	WP_012678278.1
OG0000475	WP_021320515.1	WP_012678283.1
OG0000476	WP_012678303.1	WP_012678303.1
OG0000477	WP_012678305.1	WP_012678305.1
OG0000478	WP_012678362.1	WP_012678362.1
OG0000479	WP_012678369.1	WP_012678369.1
OG0000480	WP_012678394.1	WP_012678394.1
OG0000481	WP_043040157.1	WP_012678425.1
OG0000482	WP_115250646.1	WP_012678427.1
OG0000483	WP_111677796.1	WP_012678429.1
OG0000484	WP_111677780.1	WP_012678454.1
OG0000485	WP_012678455.1	WP_012678455.1
OG0000486	WP_012678463.1	WP_012678463.1
OG0000487	WP_043029379.1	WP_012678479.1
OG0000488	WP_154804116.1	WP_012678485.1
OG0000489	WP_154804117.1	WP_012678486.1
OG0000490	WP_012678498.1	WP_012678498.1
OG0000491	WP_012678504.1	WP_012678504.1
OG0000492	WP_043029349.1	WP_012678525.1
OG0000493	WP_154804134.1	WP_012678526.1
OG0000494	WP_012514952.1	WP_012678533.1
OG0000495	WP_012678537.1	WP_012678537.1
OG0000496	WP_037580359.1	WP_012678547.1
OG0000497	WP_043052707.1	WP_012678551.1
OG0000498	WP_012678553.1	WP_012678553.1
OG0000499	WP_012678556.1	WP_012678556.1
OG0000500	WP_012678569.1	WP_012678569.1
OG0000501	WP_012678684.1	WP_012678684.1
OG0000502	WP_012678700.1	WP_012678700.1
OG0000503	WP_012678701.1	WP_012678701.1
OG0000504	WP_111690506.1	WP_012678704.1
OG0000505	WP_154804285.1	WP_012678712.1
OG0000506	WP_021321234.1	WP_012678716.1
OG0000507	WP_111678780.1	WP_012678720.1
OG0000508	WP_012678721.1	WP_012678721.1
OG0000509	WP_154804270.1	WP_012678731.1
OG0000510	WP_172954525.1	WP_012678740.1
OG0000511	WP_012678748.1	WP_012678748.1
OG0000512	WP_154804261.1	WP_012678751.1
OG0000513	WP_012677196.1	WP_012678772.1
OG0000514	WP_154804243.1	WP_012678783.1
OG0000515	WP_111692081.1	WP_012678784.1
OG0000516	WP_111692082.1	WP_012678785.1
OG0000517	WP_043029252.1	WP_012678801.1
OG0000518	WP_012514783.1	WP_012678812.1
OG0000519	WP_154804225.1	WP_012678817.1
OG0000520	WP_154804219.1	WP_012678826.1
OG0000521	WP_012514807.1	WP_012678897.1
OG0000522	WP_043052770.1	WP_012679089.1
OG0000523	WP_012679132.1	WP_012679132.1
OG0000524	WP_154804052.1	WP_012679147.1
OG0000525	WP_012679171.1	WP_012679171.1
OG0000526	WP_012679240.1	WP_012679240.1
OG0000527	WP_021320558.1	WP_012679249.1
OG0000528	WP_154803956.1	WP_012679348.1
OG0000529	WP_012678159.1	WP_012679350.1
OG0000530	WP_012678143.1	WP_012679364.1
