Orthogroup	Species	protein	Orthologs
OG0000085	protein_3	WP_014623179.1	WP_042669846.1, WP_154803666.1
OG0000086	protein_2	WP_014623198.1	WP_138119575.1
OG0000086	protein_3	WP_014623198.1	WP_014623198.1, WP_154803678.1
OG0000087	protein_2	WP_014623247.1, WP_014623245.1	WP_041790494.1, WP_012678175.1
OG0000088	protein_3	WP_014623459.1	WP_014623459.1
OG0000088	protein_2	WP_014623459.1	WP_111678543.1, WP_111678583.1
OG0000089	protein_2	WP_014623488.1	WP_111710235.1
OG0000089	protein_3	WP_014623488.1	WP_043039290.1, WP_154804162.1
OG0000090	protein_2	WP_014623503.1, WP_014623622.1	WP_012516417.1
OG0000090	protein_3	WP_014623503.1, WP_014623622.1	WP_012678670.1
OG0000091	protein_3	WP_014623564.1	WP_151374869.1
OG0000091	protein_2	WP_014623564.1	WP_206158959.1, WP_014623564.1
OG0000092	protein_2	WP_014623567.1	WP_206158753.1
OG0000092	protein_3	WP_014623567.1	WP_154803926.1, WP_154804327.1
OG0000093	protein_3	WP_014623587.1	WP_043039481.1
OG0000093	protein_2	WP_014623587.1	WP_015057294.1, WP_043030202.1
OG0000094	protein_3	WP_014623602.1	WP_012516391.1
OG0000094	protein_2	WP_014623602.1	WP_111690020.1, WP_012516391.1
OG0000095	protein_3	WP_014623632.1, WP_158306818.1	WP_012516425.1
OG0000095	protein_2	WP_014623632.1, WP_158306818.1	WP_206158783.1
OG0000096	protein_2	WP_038674551.1, WP_021320372.1	WP_115250599.1
OG0000096	protein_3	WP_038674551.1, WP_021320372.1	WP_154804127.1
OG0000097	protein_3	WP_021321066.1	WP_021321066.1
OG0000097	protein_2	WP_021321066.1	WP_021321066.1, WP_015057302.1
OG0000098	protein_3	WP_024273224.1	WP_012677440.1
OG0000098	protein_2	WP_024273224.1	WP_012677440.1, WP_037579874.1
OG0000099	protein_2	WP_038673957.1	WP_111710237.1
OG0000099	protein_3	WP_038673957.1	WP_154803567.1, WP_154804160.1
OG0000100	protein_2	WP_038674150.1, WP_038674613.1	WP_021320976.1
OG0000100	protein_3	WP_038674150.1, WP_038674613.1	WP_154803722.1
OG0000101	protein_2	WP_038674221.1	WP_231151016.1
OG0000101	protein_3	WP_038674221.1	WP_232013935.1, WP_232013933.1
OG0000102	protein_2	WP_154293433.1, WP_038674437.1	WP_043983694.1
OG0000102	protein_3	WP_154293433.1, WP_038674437.1	WP_172454087.1
OG0000103	protein_2	WP_038674620.1	WP_206158912.1
OG0000103	protein_3	WP_038674620.1	WP_111689780.1, WP_154803670.1
OG0000104	protein_2	WP_041788167.1, WP_038674875.1	WP_206158920.1
OG0000104	protein_3	WP_041788167.1, WP_038674875.1	WP_154804419.1
OG0000105	protein_2	WP_041788211.1	WP_154803891.1
OG0000105	protein_3	WP_041788211.1	WP_154803713.1, WP_154803891.1
OG0000106	protein_3	WP_043036384.1	WP_042670252.1
OG0000106	protein_2	WP_043036384.1	WP_206158945.1, WP_206156369.1
OG0000107	protein_2	WP_049780513.1	WP_206158689.1
OG0000107	protein_3	WP_049780513.1	WP_197718037.1, WP_154804217.1
OG0000108	protein_2	WP_049780543.1	WP_206158953.1
OG0000108	protein_3	WP_049780543.1	WP_043039190.1, WP_111710247.1
OG0000109	protein_2	WP_138119682.1	WP_111678383.1
OG0000109	protein_3	WP_138119682.1	WP_172954505.1, WP_012677494.1
OG0000110	protein_3	WP_148255838.1	WP_154803973.1
OG0000110	protein_2	WP_148255838.1	WP_111690000.1, WP_206158993.1
OG0000111	protein_2	WP_154293407.1	WP_206158624.1
OG0000111	protein_3	WP_154293407.1	WP_154804230.1, WP_154803852.1
OG0000112	protein_2	WP_154293411.1	WP_012679055.1
OG0000112	protein_3	WP_154293411.1	WP_154803982.1, WP_012679055.1
OG0000113	protein_3	WP_154293421.1	WP_154803676.1, WP_154803674.1
OG0000113	protein_2	WP_154293421.1	WP_206158740.1
OG0000114	protein_3	WP_169724974.1	WP_012678755.1
OG0000114	protein_2	WP_169724974.1	WP_206159095.1, WP_172453717.1
OG0000115	protein_3	WP_228269594.1	WP_154803611.1
OG0000115	protein_2	WP_228269594.1	WP_111690014.1, WP_231151223.1
OG0000118	protein_2	WP_000533765.1	WP_000533765.1
OG0000118	protein_3	WP_000533765.1	WP_000533765.1
OG0000119	protein_3	WP_000831903.1	WP_000831903.1
OG0000119	protein_2	WP_000831903.1	WP_000831903.1
OG0000120	protein_2	WP_000868345.1	WP_000868345.1
OG0000120	protein_3	WP_000868345.1	WP_000868345.1
OG0000121	protein_2	WP_001040189.1	WP_001040189.1
OG0000121	protein_3	WP_001040189.1	WP_001040189.1
OG0000122	protein_2	WP_001118387.1	WP_001118387.1
OG0000122	protein_3	WP_001118387.1	WP_001118387.1
OG0000123	protein_2	WP_001265622.1	WP_001265622.1
OG0000123	protein_3	WP_001265622.1	WP_001265622.1
OG0000124	protein_3	WP_002982710.1	WP_002982710.1
OG0000124	protein_2	WP_002982710.1	WP_002982710.1
OG0000125	protein_2	WP_002982870.1	WP_002982870.1
OG0000125	protein_3	WP_002982870.1	WP_002982870.1
OG0000126	protein_2	WP_002983142.1	WP_002983142.1
OG0000126	protein_3	WP_002983142.1	WP_002983142.1
OG0000127	protein_3	WP_002986602.1	WP_012677215.1
OG0000127	protein_2	WP_002986602.1	WP_002986602.1
OG0000128	protein_3	WP_003010871.1	WP_003010871.1
OG0000128	protein_2	WP_003010871.1	WP_003010871.1
OG0000129	protein_2	WP_003027551.1	WP_000124834.1
OG0000129	protein_3	WP_003027551.1	WP_000124834.1
OG0000130	protein_3	WP_003046044.1	WP_003046044.1
OG0000130	protein_2	WP_003046044.1	WP_003046044.1
OG0000131	protein_2	WP_003046054.1	WP_003046054.1
OG0000131	protein_3	WP_003046054.1	WP_003046054.1
OG0000132	protein_3	WP_003046060.1	WP_003046060.1
OG0000132	protein_2	WP_003046060.1	WP_003046060.1
OG0000133	protein_3	WP_003046072.1	WP_003046072.1
OG0000133	protein_2	WP_003046072.1	WP_206158878.1
OG0000134	protein_2	WP_003046456.1	WP_003046456.1
OG0000134	protein_3	WP_003046456.1	WP_003046456.1
OG0000135	protein_3	WP_003049875.1	WP_003049875.1
OG0000135	protein_2	WP_003049875.1	WP_003049875.1
OG0000136	protein_3	WP_003065460.1	WP_003065460.1
OG0000136	protein_2	WP_003065460.1	WP_000048058.1
OG0000137	protein_3	WP_008750788.1	WP_043983624.1, WP_021675795.1
OG0000138	protein_2	WP_012514685.1	WP_206158854.1
OG0000138	protein_3	WP_012514685.1	WP_012514685.1
OG0000139	protein_2	WP_012514693.1	WP_012514693.1
OG0000139	protein_3	WP_012514693.1	WP_012514693.1
OG0000140	protein_2	WP_012514702.1	WP_206158862.1
OG0000140	protein_3	WP_012514702.1	WP_012514702.1
OG0000141	protein_3	WP_012514717.1	WP_012678781.1
OG0000141	protein_2	WP_012514717.1	WP_164336754.1
OG0000142	protein_2	WP_012514718.1	WP_164336752.1
OG0000142	protein_3	WP_012514718.1	WP_012514718.1
OG0000143	protein_2	WP_012514733.1	WP_012677212.1
OG0000143	protein_3	WP_012514733.1	WP_012677212.1
OG0000144	protein_2	WP_012514735.1	WP_043024907.1
OG0000144	protein_3	WP_012514735.1	WP_012514735.1
OG0000145	protein_3	WP_012514737.1	WP_012514737.1
OG0000145	protein_2	WP_012514737.1	WP_012514737.1
OG0000146	protein_3	WP_012514738.1	WP_012514738.1
OG0000146	protein_2	WP_012514738.1	WP_012514738.1
OG0000147	protein_2	WP_012514740.1	WP_012514740.1
OG0000147	protein_3	WP_012514740.1	WP_012514740.1
OG0000148	protein_2	WP_012514741.1	WP_012514741.1
OG0000148	protein_3	WP_012514741.1	WP_012514741.1
OG0000149	protein_2	WP_012514742.1	WP_012514742.1
OG0000149	protein_3	WP_012514742.1	WP_012514742.1
OG0000150	protein_3	WP_012514743.1	WP_012514743.1
OG0000150	protein_2	WP_012514743.1	WP_012514743.1
OG0000151	protein_3	WP_012514744.1	WP_012514744.1
OG0000151	protein_2	WP_012514744.1	WP_012514744.1
OG0000152	protein_2	WP_012514746.1	WP_012514746.1
OG0000152	protein_3	WP_012514746.1	WP_012514746.1
OG0000153	protein_2	WP_012514747.1	WP_043038345.1
OG0000153	protein_3	WP_012514747.1	WP_012514747.1
OG0000154	protein_2	WP_012514749.1	WP_012514749.1
OG0000154	protein_3	WP_012514749.1	WP_012514749.1
OG0000155	protein_2	WP_012514767.1	WP_012514767.1
OG0000155	protein_3	WP_012514767.1	WP_012514767.1
OG0000156	protein_3	WP_012514798.1	WP_012514798.1
OG0000156	protein_2	WP_012514798.1	WP_012514798.1
OG0000157	protein_3	WP_012514800.1	WP_012514800.1
OG0000157	protein_2	WP_012514800.1	WP_012514800.1
OG0000158	protein_3	WP_012514806.1	WP_012514806.1
OG0000158	protein_2	WP_012514806.1	WP_012514806.1
OG0000159	protein_3	WP_012514830.1	WP_012514830.1
OG0000159	protein_2	WP_012514830.1	WP_012514830.1
OG0000160	protein_2	WP_012514831.1	WP_037580553.1
OG0000160	protein_3	WP_012514831.1	WP_037580553.1
OG0000161	protein_3	WP_012514836.1	WP_012677280.1
OG0000161	protein_2	WP_012514836.1	WP_043039978.1
OG0000162	protein_3	WP_012514859.1	WP_154804194.1
OG0000162	protein_2	WP_012514859.1	WP_206158929.1
OG0000163	protein_3	WP_012514860.1	WP_154804192.1
OG0000163	protein_2	WP_012514860.1	WP_206158930.1
OG0000164	protein_2	WP_012514863.1	WP_012514863.1
OG0000164	protein_3	WP_012514863.1	WP_012514863.1
OG0000165	protein_3	WP_012514864.1	WP_012677303.1
OG0000165	protein_2	WP_012514864.1	WP_012514864.1
OG0000166	protein_3	WP_012514896.1	WP_154804172.1
OG0000166	protein_2	WP_012514896.1	WP_012514896.1
OG0000167	protein_3	WP_012514897.1	WP_111689808.1
OG0000167	protein_2	WP_012514897.1	WP_282957533.1
OG0000168	protein_3	WP_012514898.1	WP_043052694.1
OG0000168	protein_2	WP_012514898.1	WP_037580444.1
OG0000169	protein_2	WP_012514907.1	WP_037580414.1
OG0000169	protein_3	WP_012514907.1	WP_012514907.1
OG0000170	protein_2	WP_012514912.1	WP_206158957.1
OG0000170	protein_3	WP_012514912.1	WP_012514912.1
OG0000171	protein_3	WP_012514918.1	WP_154804148.1
OG0000171	protein_2	WP_012514918.1	WP_164335375.1
OG0000172	protein_3	WP_012514919.1	WP_154804147.1
OG0000172	protein_2	WP_012514919.1	WP_043038501.1
OG0000173	protein_2	WP_012514925.1	WP_027969350.1
OG0000173	protein_3	WP_012514925.1	WP_012514925.1
OG0000174	protein_3	WP_012514926.1	WP_012514926.1
OG0000174	protein_2	WP_012514926.1	WP_012514926.1
OG0000175	protein_2	WP_012514929.1	WP_012514929.1
OG0000175	protein_3	WP_012514929.1	WP_012514929.1
OG0000176	protein_2	WP_012514930.1	WP_043030440.1
OG0000176	protein_3	WP_012514930.1	WP_012514930.1
OG0000177	protein_2	WP_012514937.1	WP_115250569.1
OG0000177	protein_3	WP_012514937.1	WP_012514937.1
OG0000178	protein_2	WP_012514941.1	WP_012514941.1
OG0000178	protein_3	WP_012514941.1	WP_154804143.1
OG0000179	protein_3	WP_012514973.1	WP_012679013.1
OG0000179	protein_2	WP_012514973.1	WP_115250587.1
OG0000180	protein_2	WP_012514975.1	WP_012514975.1
OG0000180	protein_3	WP_012514975.1	WP_043040064.1
OG0000181	protein_3	WP_012514985.1	WP_012514985.1
OG0000181	protein_2	WP_012514985.1	WP_012514985.1
OG0000182	protein_2	WP_012514987.1	WP_037580269.1
OG0000182	protein_3	WP_012514987.1	WP_012514987.1
OG0000183	protein_2	WP_012514992.1	WP_115250597.1
OG0000183	protein_3	WP_012514992.1	WP_012514992.1
OG0000184	protein_2	WP_012514999.1	WP_111689846.1
OG0000184	protein_3	WP_012514999.1	WP_021320374.1
OG0000185	protein_2	WP_012515004.1	WP_012515004.1
OG0000185	protein_3	WP_012515004.1	WP_012515004.1
OG0000186	protein_2	WP_012515005.1	WP_012515005.1
OG0000186	protein_3	WP_012515005.1	WP_012515005.1
OG0000187	protein_3	WP_012515017.1	WP_012678488.1
OG0000187	protein_2	WP_012515017.1	WP_115250609.1
OG0000188	protein_2	WP_012515046.1	WP_206156406.1
OG0000188	protein_3	WP_012515046.1	WP_012515046.1
OG0000189	protein_3	WP_012515057.1	WP_012515057.1
OG0000189	protein_2	WP_012515057.1	WP_012515057.1
OG0000190	protein_3	WP_012515058.1	WP_042670128.1
OG0000190	protein_2	WP_012515058.1	WP_012678449.1
OG0000191	protein_3	WP_012515060.1	WP_021320411.1
OG0000191	protein_2	WP_012515060.1	WP_206156400.1
OG0000192	protein_3	WP_012515063.1	WP_012515063.1
OG0000192	protein_2	WP_012515063.1	WP_012515063.1
OG0000193	protein_3	WP_012515071.1	WP_115267103.1
OG0000193	protein_2	WP_012515071.1	WP_012515071.1
OG0000194	protein_2	WP_012515073.1	WP_012678437.1
OG0000194	protein_3	WP_012515073.1	WP_012678437.1
OG0000195	protein_3	WP_012515079.1	WP_012515079.1
OG0000195	protein_2	WP_012515079.1	WP_111689882.1
OG0000196	protein_3	WP_012515084.1	WP_012515084.1
OG0000196	protein_2	WP_012515084.1	WP_012515084.1
