HOG	OG	Gene Tree Parent Clade	protein	protein_2	protein_3
N0.HOG0000029	OG0000013	n2	WP_014623126.1	WP_231871326.1, WP_206158684.1, WP_249093338.1	WP_232013874.1
N0.HOG0000030	OG0000014	n1	WP_154293427.1		WP_154804007.1
N0.HOG0000031	OG0000014	n2	WP_228269622.1, WP_228269590.1, WP_154293448.1, WP_014622646.1		WP_154804003.1
N0.HOG0000032	OG0000015	n0	WP_014623413.1, WP_014622821.1	WP_206158730.1, WP_231871332.1, WP_249093119.1	WP_154803867.1, WP_154803577.1
N0.HOG0000033	OG0000016	n1	WP_014623687.1	WP_206158846.1	WP_154804265.1, WP_154804266.1
N0.HOG0000034	OG0000016	n4	WP_014623686.1	WP_206158844.1	WP_012516509.1
N0.HOG0000035	OG0000017	n1	WP_021320365.1	WP_115250591.1	WP_043052723.1
N0.HOG0000036	OG0000017	n3	WP_021320244.1	WP_115250537.1, WP_111677630.1	WP_151374905.1
N0.HOG0000037	OG0000018	n1		WP_206152443.1, WP_115250604.1	
N0.HOG0000038	OG0000018	n3	WP_038674160.1		WP_041785278.1
N0.HOG0000039	OG0000018	n4	WP_038674538.1		WP_111692196.1, WP_154804121.1
N0.HOG0000040	OG0000019	n2	WP_074632251.1	WP_074632251.1	
N0.HOG0000041	OG0000019	n4	WP_079993908.1	WP_080332469.1	
N0.HOG0000042	OG0000019	n5	WP_080004971.1	WP_269457116.1	
N0.HOG0000043	OG0000020	n0		WP_206158885.1, WP_206158736.1, WP_206158737.1, WP_043039135.1, WP_206158718.1, WP_014622678.1, WP_014622390.1	
N0.HOG0000044	OG0000021	n1	WP_012514940.1	WP_012514940.1	WP_021320349.1
N0.HOG0000045	OG0000021	n3	WP_014623461.1	WP_012516278.1	WP_154804371.1
N0.HOG0000046	OG0000022	n0	WP_012678587.1, WP_014623141.1, WP_012515936.1, WP_014622249.1, WP_014622462.1	WP_012678587.1	
N0.HOG0000047	OG0000023	n1	WP_014622278.1	WP_012678544.1	WP_154804144.1
N0.HOG0000048	OG0000023	n3	WP_012516279.1	WP_012516279.1	WP_012516279.1
N0.HOG0000049	OG0000024	n1	WP_012679465.1	WP_037578379.1	WP_154803878.1
N0.HOG0000050	OG0000024	n3	WP_012516470.1	WP_115251425.1	WP_154804284.1
N0.HOG0000051	OG0000025	n1	WP_038674323.1	WP_111678479.1	
N0.HOG0000052	OG0000025	n2	WP_014623415.1, WP_012677437.1	WP_115250909.1	WP_154803576.1
N0.HOG0000053	OG0000026	n0	WP_012678098.1	WP_115250853.1	WP_154803928.1, WP_115267186.1, WP_154804311.1, WP_154804310.1
N0.HOG0000054	OG0000027	n1	WP_012678129.1	WP_021320630.1	WP_154803943.1
N0.HOG0000055	OG0000027	n3	WP_014622997.1	WP_154299016.1	WP_043025968.1
N0.HOG0000056	OG0000028	n0	WP_012679838.1, WP_014622160.1	WP_206158911.1, WP_012679838.1	WP_154803669.1, WP_043052249.1
N0.HOG0000057	OG0000029	n0	WP_014622139.1	WP_015057298.1, WP_206158625.1, WP_206158896.1	WP_043025814.1, WP_043024949.1
N0.HOG0000058	OG0000030	n0	WP_014622213.1, WP_014623300.1	WP_206158932.1, WP_138119633.1	WP_154803632.1, WP_154804190.1
N0.HOG0000059	OG0000031	n1			WP_154804167.1, WP_043051917.1
N0.HOG0000060	OG0000031	n3	WP_038674588.1	WP_115250547.1	
N0.HOG0000061	OG0000031	n4	WP_014622255.1	WP_206158954.1	
N0.HOG0000062	OG0000032	n1	WP_014623124.1	WP_115250603.1	WP_111690253.1, WP_043029899.1
N0.HOG0000063	OG0000032	n4	WP_014622327.1	WP_043039122.1	
N0.HOG0000064	OG0000033	n0	WP_014622328.1, WP_014623125.1	WP_231146773.1, WP_249093152.1	WP_042670895.1, WP_232013876.1
N0.HOG0000065	OG0000034	n1	WP_014622684.1	WP_206156318.1	WP_154803950.1
N0.HOG0000066	OG0000034	n3	WP_014622399.1	WP_206156393.1	WP_154804091.1
N0.HOG0000067	OG0000035	n1	WP_014622449.1	WP_043030545.1	WP_154804072.1
N0.HOG0000068	OG0000035	n3	WP_014622702.1	WP_111690045.1	WP_154803945.1
N0.HOG0000069	OG0000036	n1	WP_021320231.1	WP_021320231.1	WP_021320231.1
N0.HOG0000070	OG0000036	n3	WP_014622913.1	WP_012515667.1	WP_012515667.1
N0.HOG0000071	OG0000037	n1	WP_014623324.1	WP_206158713.1	WP_154803623.1
N0.HOG0000072	OG0000037	n3	WP_014623099.1	WP_206152450.1	WP_021320936.1
N0.HOG0000073	OG0000038	n1	WP_014623662.1		WP_154804282.1
N0.HOG0000074	OG0000038	n2	WP_154293455.1	WP_206158803.1, WP_206158811.1	WP_154804287.1
N0.HOG0000075	OG0000039	n1	WP_038674566.1	WP_012678520.1	WP_012514977.1
N0.HOG0000076	OG0000039	n3	WP_021320395.1	WP_041785288.1	WP_021320395.1
N0.HOG0000077	OG0000040	n1	WP_038674744.1	WP_012677358.1	WP_154804357.1
N0.HOG0000078	OG0000040	n3	WP_038674281.1	WP_111678145.1	WP_012677935.1
N0.HOG0000079	OG0000041	n1	WP_154293443.1	WP_206152509.1	WP_154803826.1
N0.HOG0000080	OG0000041	n3	WP_038674455.1	WP_206156356.1	WP_154804043.1
N0.HOG0000081	OG0000042	n1	WP_038674598.1	WP_041785235.1	WP_012678603.1
N0.HOG0000082	OG0000042	n3	WP_038674873.1	WP_206158931.1	WP_111710917.1
N0.HOG0000083	OG0000043	n0	WP_165620476.1, WP_165620660.1	WP_115250806.1	WP_165627468.1, WP_172954511.1, WP_165626751.1
N0.HOG0000084	OG0000044	n2	WP_014623017.1		WP_154804385.1
N0.HOG0000085	OG0000044	n3	WP_012515781.1		WP_012515781.1
N0.HOG0000086	OG0000045	n2	WP_012515981.1	WP_043039163.1	
N0.HOG0000087	OG0000045	n3	WP_014623329.1	WP_111678334.1	
N0.HOG0000088	OG0000046	n0	WP_014622818.1, WP_014622814.1, WP_012516221.1, WP_014622816.1	WP_111678062.1	
N0.HOG0000089	OG0000047	n0	WP_012677439.1	WP_111678065.1, WP_165627640.1	WP_012677439.1, WP_154803866.1
N0.HOG0000090	OG0000048	n0	WP_012678015.1	WP_206158613.1, WP_249093189.1, WP_231871354.1	WP_154803868.1
N0.HOG0000091	OG0000049	n0	WP_012678458.1	WP_012678458.1	WP_269471216.1, WP_269471215.1, WP_021320402.1
N0.HOG0000092	OG0000050	n0	WP_012678623.1	WP_111690001.1, WP_206158990.1	WP_154804000.1, WP_154803990.1
N0.HOG0000093	OG0000051	n0	WP_014623178.1, WP_014622158.1, WP_038674783.1, WP_014622157.1	WP_206158909.1	
N0.HOG0000094	OG0000052	n1	WP_041788153.1	WP_196819690.1	WP_154804317.1
N0.HOG0000095	OG0000052	n3	WP_014622411.1		WP_154803788.1
N0.HOG0000096	OG0000053	n1	WP_154293432.1		WP_154804005.1
N0.HOG0000097	OG0000053	n2	WP_038674412.1, WP_014622649.1		WP_043052920.1
N0.HOG0000098	OG0000054	n1	WP_014623223.1	WP_111710705.1	WP_154803650.1
N0.HOG0000099	OG0000054	n3	WP_014622686.1	WP_206158996.1	
N0.HOG0000100	OG0000055	n0	WP_014622881.1	WP_111678609.1, WP_206158883.1	WP_154804341.1, WP_154804347.1
N0.HOG0000101	OG0000056	n0	WP_014623134.1	WP_043039483.1, WP_206158685.1	WP_043039483.1, WP_154803736.1
N0.HOG0000102	OG0000057	n1	WP_014623493.1		WP_080332811.1
N0.HOG0000103	OG0000057	n2	WP_080004982.1, WP_014623260.1		WP_154803564.1
N0.HOG0000104	OG0000058	n1	WP_014623504.1, WP_038674416.1		WP_154803562.1
N0.HOG0000105	OG0000058	n3	WP_014623272.1		WP_154803979.1
N0.HOG0000106	OG0000059	n1	WP_037579452.1	WP_206158772.1	
N0.HOG0000107	OG0000059	n2	WP_169724980.1	WP_037579467.1, WP_165620175.1	
N0.HOG0000108	OG0000060	n0	WP_038674819.1	WP_206158638.1	WP_172954534.1, WP_154803680.1, WP_154803905.1
N0.HOG0000109	OG0000061	n1	WP_228269587.1		WP_232013881.1
N0.HOG0000110	OG0000061	n2	WP_228269603.1		WP_232013869.1, WP_232013871.1
N0.HOG0000111	OG0000062	n0	WP_009662862.1, WP_038674683.1	WP_206158809.1	WP_154804283.1
N0.HOG0000112	OG0000063	n0	WP_014622590.1, WP_012515170.1	WP_206156376.1	WP_043029447.1
N0.HOG0000113	OG0000064	n0	WP_012516427.1	WP_012516427.1, WP_138119161.1	WP_012516427.1
N0.HOG0000114	OG0000065	n0	WP_012516443.1	WP_012516443.1, WP_011106694.1	WP_012516443.1
N0.HOG0000115	OG0000066	n0	WP_012516446.1	WP_206158790.1	WP_012678692.1, WP_111690337.1
N0.HOG0000116	OG0000067	n0	WP_012677648.1	WP_111678243.1, WP_255313937.1	WP_154803617.1
N0.HOG0000117	OG0000068	n0	WP_012678474.1	WP_115250620.1	WP_154803983.1, WP_154804111.1
N0.HOG0000118	OG0000069	n0	WP_012678706.1	WP_043039543.1	WP_012678706.1, WP_037578457.1
N0.HOG0000119	OG0000070	n0	WP_014622077.1	WP_206158855.1	WP_154804110.1, WP_154804258.1
N0.HOG0000120	OG0000071	n0	WP_014622159.1, WP_014623177.1	WP_206158910.1	WP_154803668.1
N0.HOG0000121	OG0000072	n0	WP_014622242.1	WP_231146896.1, WP_043038466.1	WP_012514890.1
N0.HOG0000122	OG0000073	n0	WP_014622253.1	WP_111678357.1, WP_164335356.1	WP_154804166.1
N0.HOG0000123	OG0000074	n0	WP_014622274.1	WP_012678549.1	WP_154804002.1, WP_012678549.1
N0.HOG0000124	OG0000075	n0	WP_014622293.1	WP_206158770.1, WP_115250583.1	WP_154804135.1
N0.HOG0000125	OG0000076	n0	WP_014622957.1, WP_014622390.1, WP_014623460.1, WP_014622678.1		
N0.HOG0000126	OG0000077	n0	WP_266095218.1, WP_014622636.1, WP_014622635.1		WP_154803716.1
N0.HOG0000127	OG0000078	n0	WP_014622643.1, WP_014622648.1		WP_154804006.1, WP_115250782.1
N0.HOG0000128	OG0000079	n0	WP_014622652.1	WP_206158988.1, WP_249093364.1	WP_154803974.1
N0.HOG0000129	OG0000080	n0	WP_014622736.1	WP_206158768.1, WP_206159012.1	WP_154803929.1
N0.HOG0000130	OG0000081	n0	WP_014622815.1, WP_014623417.1, WP_014622819.1	WP_111678485.1	
N0.HOG0000131	OG0000082	n0	WP_014623170.1	WP_206158687.1	WP_012679829.1, WP_043030192.1
N0.HOG0000132	OG0000083	n0	WP_014623171.1	WP_043039159.1	WP_154804321.1, WP_111721714.1
N0.HOG0000133	OG0000084	n0	WP_014623172.1	WP_043039160.1	WP_014623172.1, WP_043030194.1
N0.HOG0000134	OG0000085	n0	WP_014623179.1	WP_043039168.1	WP_042669846.1, WP_154803666.1
N0.HOG0000135	OG0000086	n0	WP_014623198.1	WP_138119575.1	WP_014623198.1, WP_154803678.1
N0.HOG0000136	OG0000087	n0	WP_014623247.1, WP_014623245.1	WP_041790494.1, WP_012678175.1	
N0.HOG0000137	OG0000088	n0	WP_014623459.1	WP_111678543.1, WP_111678583.1	WP_014623459.1
N0.HOG0000138	OG0000089	n0	WP_014623488.1	WP_111710235.1	WP_043039290.1, WP_154804162.1
N0.HOG0000139	OG0000090	n0	WP_014623503.1, WP_014623622.1	WP_012516417.1	WP_012678670.1
N0.HOG0000140	OG0000091	n0	WP_014623564.1	WP_206158959.1, WP_014623564.1	WP_151374869.1
N0.HOG0000141	OG0000092	n0	WP_014623567.1	WP_206158753.1	WP_154803926.1, WP_154804327.1
N0.HOG0000142	OG0000093	n0	WP_014623587.1	WP_015057294.1, WP_043030202.1	WP_043039481.1
N0.HOG0000143	OG0000094	n0	WP_014623602.1	WP_111690020.1, WP_012516391.1	WP_012516391.1
N0.HOG0000144	OG0000095	n0	WP_014623632.1, WP_158306818.1	WP_206158783.1	WP_012516425.1
N0.HOG0000145	OG0000096	n0	WP_038674551.1, WP_021320372.1	WP_115250599.1	WP_154804127.1
N0.HOG0000146	OG0000097	n0	WP_021321066.1	WP_021321066.1, WP_015057302.1	WP_021321066.1
N0.HOG0000147	OG0000098	n0	WP_024273224.1	WP_012677440.1, WP_037579874.1	WP_012677440.1
N0.HOG0000148	OG0000099	n0	WP_038673957.1	WP_111710237.1	WP_154803567.1, WP_154804160.1
N0.HOG0000149	OG0000100	n0	WP_038674150.1, WP_038674613.1	WP_021320976.1	WP_154803722.1
N0.HOG0000150	OG0000101	n0	WP_038674221.1	WP_231151016.1	WP_232013935.1, WP_232013933.1
N0.HOG0000151	OG0000102	n0	WP_154293433.1, WP_038674437.1	WP_043983694.1	WP_172454087.1
N0.HOG0000152	OG0000103	n0	WP_038674620.1	WP_206158912.1	WP_111689780.1, WP_154803670.1
N0.HOG0000153	OG0000104	n0	WP_041788167.1, WP_038674875.1	WP_206158920.1	WP_154804419.1
N0.HOG0000154	OG0000105	n0	WP_041788211.1	WP_154803891.1	WP_154803713.1, WP_154803891.1
N0.HOG0000155	OG0000106	n0	WP_043036384.1	WP_206158945.1, WP_206156369.1	WP_042670252.1
N0.HOG0000156	OG0000107	n0	WP_049780513.1	WP_206158689.1	WP_197718037.1, WP_154804217.1
N0.HOG0000157	OG0000108	n0	WP_049780543.1	WP_206158953.1	WP_043039190.1, WP_111710247.1
N0.HOG0000158	OG0000109	n0	WP_138119682.1	WP_111678383.1	WP_172954505.1, WP_012677494.1
N0.HOG0000159	OG0000110	n0	WP_148255838.1	WP_111690000.1, WP_206158993.1	WP_154803973.1
N0.HOG0000160	OG0000111	n0	WP_154293407.1	WP_206158624.1	WP_154804230.1, WP_154803852.1
N0.HOG0000161	OG0000112	n0	WP_154293411.1	WP_012679055.1	WP_154803982.1, WP_012679055.1
N0.HOG0000162	OG0000113	n0	WP_154293421.1	WP_206158740.1	WP_154803676.1, WP_154803674.1
N0.HOG0000163	OG0000114	n0	WP_169724974.1	WP_206159095.1, WP_172453717.1	WP_012678755.1
N0.HOG0000164	OG0000115	n0	WP_228269594.1	WP_111690014.1, WP_231151223.1	WP_154803611.1
N0.HOG0000165	OG0000116	n0		WP_115267933.1	WP_154804348.1, WP_232013916.1, WP_154804346.1
N0.HOG0000166	OG0000117	n0			WP_111689777.1, WP_042669845.1, WP_154803667.1, WP_154803665.1
N0.HOG0000167	OG0000118	-	WP_000533765.1	WP_000533765.1	WP_000533765.1
N0.HOG0000168	OG0000119	-	WP_000831903.1	WP_000831903.1	WP_000831903.1
N0.HOG0000169	OG0000120	-	WP_000868345.1	WP_000868345.1	WP_000868345.1
N0.HOG0000170	OG0000121	-	WP_001040189.1	WP_001040189.1	WP_001040189.1
N0.HOG0000171	OG0000122	-	WP_001118387.1	WP_001118387.1	WP_001118387.1
N0.HOG0000172	OG0000123	-	WP_001265622.1	WP_001265622.1	WP_001265622.1
N0.HOG0000173	OG0000124	-	WP_002982710.1	WP_002982710.1	WP_002982710.1
N0.HOG0000174	OG0000125	-	WP_002982870.1	WP_002982870.1	WP_002982870.1
N0.HOG0000175	OG0000126	-	WP_002983142.1	WP_002983142.1	WP_002983142.1
N0.HOG0000176	OG0000127	-	WP_002986602.1	WP_002986602.1	WP_012677215.1
N0.HOG0000177	OG0000128	-	WP_003010871.1	WP_003010871.1	WP_003010871.1
N0.HOG0000178	OG0000129	-	WP_003027551.1	WP_000124834.1	WP_000124834.1
N0.HOG0000179	OG0000130	-	WP_003046044.1	WP_003046044.1	WP_003046044.1
N0.HOG0000180	OG0000131	-	WP_003046054.1	WP_003046054.1	WP_003046054.1
N0.HOG0000181	OG0000132	-	WP_003046060.1	WP_003046060.1	WP_003046060.1
N0.HOG0000182	OG0000133	-	WP_003046072.1	WP_206158878.1	WP_003046072.1
N0.HOG0000183	OG0000134	-	WP_003046456.1	WP_003046456.1	WP_003046456.1
N0.HOG0000184	OG0000135	-	WP_003049875.1	WP_003049875.1	WP_003049875.1
N0.HOG0000185	OG0000136	-	WP_003065460.1	WP_000048058.1	WP_003065460.1
N0.HOG0000186	OG0000137	-	WP_008750788.1		WP_043983624.1, WP_021675795.1
N0.HOG0000187	OG0000138	-	WP_012514685.1	WP_206158854.1	WP_012514685.1
N0.HOG0000188	OG0000139	-	WP_012514693.1	WP_012514693.1	WP_012514693.1
N0.HOG0000189	OG0000140	-	WP_012514702.1	WP_206158862.1	WP_012514702.1
N0.HOG0000190	OG0000141	-	WP_012514717.1	WP_164336754.1	WP_012678781.1
N0.HOG0000191	OG0000142	-	WP_012514718.1	WP_164336752.1	WP_012514718.1
N0.HOG0000192	OG0000143	-	WP_012514733.1	WP_012677212.1	WP_012677212.1
N0.HOG0000193	OG0000144	-	WP_012514735.1	WP_043024907.1	WP_012514735.1
N0.HOG0000194	OG0000145	-	WP_012514737.1	WP_012514737.1	WP_012514737.1
N0.HOG0000195	OG0000146	-	WP_012514738.1	WP_012514738.1	WP_012514738.1
N0.HOG0000196	OG0000147	-	WP_012514740.1	WP_012514740.1	WP_012514740.1
N0.HOG0000197	OG0000148	-	WP_012514741.1	WP_012514741.1	WP_012514741.1
N0.HOG0000198	OG0000149	-	WP_012514742.1	WP_012514742.1	WP_012514742.1
N0.HOG0000199	OG0000150	-	WP_012514743.1	WP_012514743.1	WP_012514743.1
N0.HOG0000200	OG0000151	-	WP_012514744.1	WP_012514744.1	WP_012514744.1
N0.HOG0000201	OG0000152	-	WP_012514746.1	WP_012514746.1	WP_012514746.1
N0.HOG0000202	OG0000153	-	WP_012514747.1	WP_043038345.1	WP_012514747.1
N0.HOG0000203	OG0000154	-	WP_012514749.1	WP_012514749.1	WP_012514749.1
N0.HOG0000204	OG0000155	-	WP_012514767.1	WP_012514767.1	WP_012514767.1
N0.HOG0000205	OG0000156	-	WP_012514798.1	WP_012514798.1	WP_012514798.1
N0.HOG0000206	OG0000157	-	WP_012514800.1	WP_012514800.1	WP_012514800.1
N0.HOG0000207	OG0000158	-	WP_012514806.1	WP_012514806.1	WP_012514806.1
N0.HOG0000208	OG0000159	-	WP_012514830.1	WP_012514830.1	WP_012514830.1
N0.HOG0000209	OG0000160	-	WP_012514831.1	WP_037580553.1	WP_037580553.1
N0.HOG0000210	OG0000161	-	WP_012514836.1	WP_043039978.1	WP_012677280.1
N0.HOG0000211	OG0000162	-	WP_012514859.1	WP_206158929.1	WP_154804194.1
N0.HOG0000212	OG0000163	-	WP_012514860.1	WP_206158930.1	WP_154804192.1
N0.HOG0000213	OG0000164	-	WP_012514863.1	WP_012514863.1	WP_012514863.1
N0.HOG0000214	OG0000165	-	WP_012514864.1	WP_012514864.1	WP_012677303.1
N0.HOG0000215	OG0000166	-	WP_012514896.1	WP_012514896.1	WP_154804172.1
N0.HOG0000216	OG0000167	-	WP_012514897.1	WP_282957533.1	WP_111689808.1
N0.HOG0000217	OG0000168	-	WP_012514898.1	WP_037580444.1	WP_043052694.1
N0.HOG0000218	OG0000169	-	WP_012514907.1	WP_037580414.1	WP_012514907.1
N0.HOG0000219	OG0000170	-	WP_012514912.1	WP_206158957.1	WP_012514912.1
N0.HOG0000220	OG0000171	-	WP_012514918.1	WP_164335375.1	WP_154804148.1
N0.HOG0000221	OG0000172	-	WP_012514919.1	WP_043038501.1	WP_154804147.1
N0.HOG0000222	OG0000173	-	WP_012514925.1	WP_027969350.1	WP_012514925.1
N0.HOG0000223	OG0000174	-	WP_012514926.1	WP_012514926.1	WP_012514926.1
N0.HOG0000224	OG0000175	-	WP_012514929.1	WP_012514929.1	WP_012514929.1
N0.HOG0000225	OG0000176	-	WP_012514930.1	WP_043030440.1	WP_012514930.1
N0.HOG0000226	OG0000177	-	WP_012514937.1	WP_115250569.1	WP_012514937.1
N0.HOG0000227	OG0000178	-	WP_012514941.1	WP_012514941.1	WP_154804143.1
N0.HOG0000228	OG0000179	-	WP_012514973.1	WP_115250587.1	WP_012679013.1
N0.HOG0000229	OG0000180	-	WP_012514975.1	WP_012514975.1	WP_043040064.1
N0.HOG0000230	OG0000181	-	WP_012514985.1	WP_012514985.1	WP_012514985.1
N0.HOG0000231	OG0000182	-	WP_012514987.1	WP_037580269.1	WP_012514987.1
N0.HOG0000232	OG0000183	-	WP_012514992.1	WP_115250597.1	WP_012514992.1
N0.HOG0000233	OG0000184	-	WP_012514999.1	WP_111689846.1	WP_021320374.1
N0.HOG0000234	OG0000185	-	WP_012515004.1	WP_012515004.1	WP_012515004.1
N0.HOG0000235	OG0000186	-	WP_012515005.1	WP_012515005.1	WP_012515005.1
N0.HOG0000236	OG0000187	-	WP_012515017.1	WP_115250609.1	WP_012678488.1
N0.HOG0000237	OG0000188	-	WP_012515046.1	WP_206156406.1	WP_012515046.1
N0.HOG0000238	OG0000189	-	WP_012515057.1	WP_012515057.1	WP_012515057.1
N0.HOG0000239	OG0000190	-	WP_012515058.1	WP_012678449.1	WP_042670128.1
N0.HOG0000240	OG0000191	-	WP_012515060.1	WP_206156400.1	WP_021320411.1
N0.HOG0000241	OG0000192	-	WP_012515063.1	WP_012515063.1	WP_012515063.1
N0.HOG0000242	OG0000193	-	WP_012515071.1	WP_012515071.1	WP_115267103.1
N0.HOG0000243	OG0000194	-	WP_012515073.1	WP_012678437.1	WP_012678437.1
N0.HOG0000244	OG0000195	-	WP_012515079.1	WP_111689882.1	WP_012515079.1
N0.HOG0000245	OG0000196	-	WP_012515084.1	WP_012515084.1	WP_012515084.1
N0.HOG0000246	OG0000197	-	WP_012515088.1	WP_012515088.1	WP_154804098.1
N0.HOG0000247	OG0000198	-	WP_012515093.1	WP_012515093.1	WP_012515093.1
N0.HOG0000248	OG0000199	-	WP_012515100.1	WP_206156394.1	WP_154804094.1
N0.HOG0000249	OG0000200	-	WP_012515101.1	WP_012515101.1	WP_037579628.1
N0.HOG0000250	OG0000201	-	WP_012515102.1	WP_043983773.1	WP_154804093.1
N0.HOG0000251	OG0000202	-	WP_012515107.1	WP_012515107.1	WP_012515107.1
N0.HOG0000252	OG0000203	-	WP_012515113.1	WP_012515113.1	WP_012515113.1
N0.HOG0000253	OG0000204	-	WP_012515114.1	WP_043983767.1	WP_012515114.1
N0.HOG0000254	OG0000205	-	WP_012515116.1	WP_043029426.1	WP_154804087.1
N0.HOG0000255	OG0000206	-	WP_012515120.1	WP_012515120.1	WP_012515120.1
N0.HOG0000256	OG0000207	-	WP_012515121.1	WP_012515121.1	WP_021320440.1
N0.HOG0000257	OG0000208	-	WP_012515132.1	WP_012515132.1	WP_012515132.1
N0.HOG0000258	OG0000209	-	WP_012515137.1	WP_012515137.1	WP_037581427.1
N0.HOG0000259	OG0000210	-	WP_012515154.1	WP_043983755.1	WP_111689912.1
N0.HOG0000260	OG0000211	-	WP_012515158.1	WP_012515158.1	WP_012515158.1
N0.HOG0000261	OG0000212	-	WP_012515166.1	WP_012515166.1	WP_012515166.1
N0.HOG0000262	OG0000213	-	WP_012515178.1	WP_012515178.1	WP_012515178.1
N0.HOG0000263	OG0000214	-	WP_012515184.1	WP_012515184.1	WP_012515184.1
N0.HOG0000264	OG0000215	-	WP_012515211.1	WP_165623104.1	WP_012515211.1
N0.HOG0000265	OG0000216	-	WP_012515214.1	WP_012515214.1	WP_043029466.1
N0.HOG0000266	OG0000217	-	WP_012515215.1	WP_012515215.1	WP_012515215.1
N0.HOG0000267	OG0000218	-	WP_012515218.1	WP_043029469.1	WP_154804049.1
N0.HOG0000268	OG0000219	-	WP_012515219.1	WP_126436451.1	WP_154804048.1
N0.HOG0000269	OG0000220	-	WP_012515231.1	WP_012515231.1	WP_012515231.1
N0.HOG0000270	OG0000221	-	WP_012515235.1	WP_012515235.1	WP_012679167.1
N0.HOG0000271	OG0000222	-	WP_012515244.1	WP_206158979.1	WP_012515244.1
N0.HOG0000272	OG0000223	-	WP_012515246.1	WP_012515246.1	WP_012515246.1
N0.HOG0000273	OG0000224	-	WP_012515249.1	WP_012515249.1	WP_012515249.1
N0.HOG0000274	OG0000225	-	WP_012515260.1	WP_043983712.1	WP_154804039.1
N0.HOG0000275	OG0000226	-	WP_012515261.1	WP_012515261.1	WP_012515261.1
N0.HOG0000276	OG0000227	-	WP_012515270.1	WP_012515270.1	WP_012515270.1
N0.HOG0000277	OG0000228	-	WP_012515278.1	WP_206158982.1	WP_012515278.1
